email,firstName,lastName,rollNumber,onCampus
randy.scott@iiitg.ac.in,Randy,Scott,BT0268,False
samantha.mcintosh@iiitg.ac.in,Samantha,Mcintosh,BT0269,True
barry.romero@iiitg.ac.in,Barry,Romero,BT0270,True
janet.day@iiitg.ac.in,Janet,Day,BT0271,True
daniel.lopez@iiitg.ac.in,Daniel,Lopez,BT0272,True
stacey.moreno@iiitg.ac.in,Stacey,Moreno,BT0273,False
christian.richardson@iiitg.ac.in,Christian,Richardson,BT0274,True
kelly.roberts@iiitg.ac.in,Kelly,Roberts,BT0275,True
anthony.weeks@iiitg.ac.in,Anthony,Weeks,BT0276,False
jeffrey.kent@iiitg.ac.in,Jeffrey,Kent,BT0277,False
willie.bush@iiitg.ac.in,Willie,Bush,BT0278,False
stephen.andrade@iiitg.ac.in,Stephen,Andrade,BT0279,True
crystal.henry@iiitg.ac.in,Crystal,Henry,BT0280,False
peter.clay@iiitg.ac.in,Peter,Clay,BT0281,False
carl.rogers@iiitg.ac.in,Carl,Rogers,BT0282,True
misty.hanson@iiitg.ac.in,Misty,Hanson,BT0283,True
devon.byrd@iiitg.ac.in,Devon,Byrd,BT0284,False
charles.jones@iiitg.ac.in,Charles,Jones,BT0285,True
sydney.dickerson@iiitg.ac.in,Sydney,Dickerson,BT0286,True
juan.weaver@iiitg.ac.in,Juan,Weaver,BT0287,True
brian.tyler@iiitg.ac.in,Brian,Tyler,BT0288,False
andrew.rivas@iiitg.ac.in,Andrew,Rivas,BT0289,True
joshua.torres@iiitg.ac.in,Joshua,Torres,BT0290,True
sarah.williams@iiitg.ac.in,Sarah,Williams,BT0291,False
sarah.taylor@iiitg.ac.in,Sarah,Taylor,BT0292,True
daniel.thompson@iiitg.ac.in,Daniel,Thompson,BT0293,False
kathleen.blankenship@iiitg.ac.in,Kathleen,Blankenship,BT0294,False
nicholas.gray@iiitg.ac.in,Nicholas,Gray,BT0295,False
elizabeth.york@iiitg.ac.in,Elizabeth,York,BT0296,True
lisa.phillips@iiitg.ac.in,Lisa,Phillips,BT0297,False
cole.ruiz@iiitg.ac.in,Cole,Ruiz,BT0298,False
lauren.gilbert@iiitg.ac.in,Lauren,Gilbert,BT0299,True
morgan.brown@iiitg.ac.in,Morgan,Brown,BT0300,False
mark.williams@iiitg.ac.in,Mark,Williams,BT0301,False
randall.hale@iiitg.ac.in,Randall,Hale,BT0302,False
james.lopez@iiitg.ac.in,James,Lopez,BT0303,False
austin.evans@iiitg.ac.in,Austin,Evans,BT0304,True
brent.rojas@iiitg.ac.in,Brent,Rojas,BT0305,False
olivia.mckinney@iiitg.ac.in,Olivia,Mckinney,BT0306,False
kathryn.brown@iiitg.ac.in,Kathryn,Brown,BT0307,False
jose.martinez@iiitg.ac.in,Jose,Martinez,BT0308,True
wayne.curtis@iiitg.ac.in,Wayne,Curtis,BT0309,True
james.cowan@iiitg.ac.in,James,Cowan,BT0310,True
elizabeth.cooper@iiitg.ac.in,Elizabeth,Cooper,BT0311,False
tyler.rocha@iiitg.ac.in,Tyler,Rocha,BT0312,True
amanda.ellis@iiitg.ac.in,Amanda,Ellis,BT0313,True
wayne.hudson@iiitg.ac.in,Wayne,Hudson,BT0314,False
heather.wells@iiitg.ac.in,Heather,Wells,BT0315,True
heather.parker@iiitg.ac.in,Heather,Parker,BT0316,True
nicholas.pena@iiitg.ac.in,Nicholas,Pena,BT0317,True
adrian.alexander@iiitg.ac.in,Adrian,Alexander,BT0318,True
elizabeth.pham@iiitg.ac.in,Elizabeth,Pham,BT0319,False
katrina.gilbert@iiitg.ac.in,Katrina,Gilbert,BT0320,True
christopher.bowman@iiitg.ac.in,Christopher,Bowman,BT0321,False
darlene.wood@iiitg.ac.in,Darlene,Wood,BT0322,False
jessica.barnes@iiitg.ac.in,Jessica,Barnes,BT0323,False
stacy.brown@iiitg.ac.in,Stacy,Brown,BT0324,True
donna.everett@iiitg.ac.in,Donna,Everett,BT0325,True
carlos.dunn@iiitg.ac.in,Carlos,Dunn,BT0326,False
kimberly.martinez@iiitg.ac.in,Kimberly,Martinez,BT0327,False
aaron.hansen@iiitg.ac.in,Aaron,Hansen,BT0328,True
timothy.woods@iiitg.ac.in,Timothy,Woods,BT0329,True
brianna.foster@iiitg.ac.in,Brianna,Foster,BT0330,False
teresa.sexton@iiitg.ac.in,Teresa,Sexton,BT0331,True
ryan.gonzales@iiitg.ac.in,Ryan,Gonzales,BT0332,False
zachary.jones@iiitg.ac.in,Zachary,Jones,BT0333,True
austin.riggs@iiitg.ac.in,Austin,Riggs,BT0334,True
anthony.cooper@iiitg.ac.in,Anthony,Cooper,BT0335,False
elizabeth.delgado@iiitg.ac.in,Elizabeth,Delgado,BT0336,False
cynthia.obrien@iiitg.ac.in,Cynthia,Obrien,BT0337,False
felicia.turner@iiitg.ac.in,Felicia,Turner,BT0338,True
ashley.mitchell@iiitg.ac.in,Ashley,Mitchell,BT0339,False
pamela.green@iiitg.ac.in,Pamela,Green,BT0340,False
nicole.mcgee@iiitg.ac.in,Nicole,Mcgee,BT0341,False
tammy.kramer@iiitg.ac.in,Tammy,Kramer,BT0342,False
amanda.jefferson@iiitg.ac.in,Amanda,Jefferson,BT0343,True
crystal.smith@iiitg.ac.in,Crystal,Smith,BT0344,False
kayla.hopkins@iiitg.ac.in,Kayla,Hopkins,BT0345,True
wendy.tucker@iiitg.ac.in,Wendy,Tucker,BT0346,False
adrienne.norton@iiitg.ac.in,Adrienne,Norton,BT0347,False
christopher.kim@iiitg.ac.in,Christopher,Kim,BT0348,False
sabrina.hahn@iiitg.ac.in,Sabrina,Hahn,BT0349,False
todd.smith@iiitg.ac.in,Todd,Smith,BT0350,False
tracy.obrien@iiitg.ac.in,Tracy,Obrien,BT0351,True
joshua.oneill@iiitg.ac.in,Joshua,Oneill,BT0352,False
marisa.harris@iiitg.ac.in,Marisa,Harris,BT0353,True
abigail.hernandez@iiitg.ac.in,Abigail,Hernandez,BT0354,False
jessica.townsend@iiitg.ac.in,Jessica,Townsend,BT0355,True
brandon.lewis@iiitg.ac.in,Brandon,Lewis,BT0356,False
richard.burton@iiitg.ac.in,Richard,Burton,BT0357,True
bonnie.thompson@iiitg.ac.in,Bonnie,Thompson,BT0358,True
bradley.martinez@iiitg.ac.in,Bradley,Martinez,BT0359,True
franklin.may@iiitg.ac.in,Franklin,May,BT0360,False
monica.clarke@iiitg.ac.in,Monica,Clarke,BT0361,True
martha.cruz@iiitg.ac.in,Martha,Cruz,BT0362,True
jason.mitchell@iiitg.ac.in,Jason,Mitchell,BT0363,True
fred.herrera@iiitg.ac.in,Fred,Herrera,BT0364,False
eric.ramirez@iiitg.ac.in,Eric,Ramirez,BT0365,False
cheryl.glover@iiitg.ac.in,Cheryl,Glover,BT0366,True
marcia.turner@iiitg.ac.in,Marcia,Turner,BT0367,True
mark.burnett@iiitg.ac.in,Mark,Burnett,BT0368,False
tanya.williamson@iiitg.ac.in,Tanya,Williamson,BT0369,True
cindy.sanchez@iiitg.ac.in,Cindy,Sanchez,BT0370,False
glenda.lawrence@iiitg.ac.in,Glenda,Lawrence,BT0371,False
kevin.mays@iiitg.ac.in,Kevin,Mays,BT0372,True
jesse.schwartz@iiitg.ac.in,Jesse,Schwartz,BT0373,False
dana.bruce@iiitg.ac.in,Dana,Bruce,BT0374,False
kimberly.mccarthy@iiitg.ac.in,Kimberly,Mccarthy,BT0375,False
christian.malone@iiitg.ac.in,Christian,Malone,BT0376,False
christopher.ryan@iiitg.ac.in,Christopher,Ryan,BT0377,True
heather.sanders@iiitg.ac.in,Heather,Sanders,BT0378,True
tamara.vaughn@iiitg.ac.in,Tamara,Vaughn,BT0379,False
aaron.davis@iiitg.ac.in,Aaron,Davis,BT0380,False
pamela.hicks@iiitg.ac.in,Pamela,Hicks,BT0381,False
emily.sheppard@iiitg.ac.in,Emily,Sheppard,BT0382,False
justin.allen@iiitg.ac.in,Justin,Allen,BT0383,False
sandra.macdonald@iiitg.ac.in,Sandra,Macdonald,BT0384,False
stephanie.mendoza@iiitg.ac.in,Stephanie,Mendoza,BT0385,True
william.farrell@iiitg.ac.in,William,Farrell,BT0386,False
anthony.williams@iiitg.ac.in,Anthony,Williams,BT0387,True
jennifer.jimenez@iiitg.ac.in,Jennifer,Jimenez,BT0388,True
gloria.martin@iiitg.ac.in,Gloria,Martin,BT0389,True
rita.griffin@iiitg.ac.in,Rita,Griffin,BT0390,False
emily.mills@iiitg.ac.in,Emily,Mills,BT0391,False
emma.ferguson@iiitg.ac.in,Emma,Ferguson,BT0392,True
gary.shelton@iiitg.ac.in,Gary,Shelton,BT0393,True
sarah.clark@iiitg.ac.in,Sarah,Clark,BT0394,False
kathryn.gilbert@iiitg.ac.in,Kathryn,Gilbert,BT0395,True
michael.oconnor@iiitg.ac.in,Michael,Oconnor,BT0396,False
evelyn.davidson@iiitg.ac.in,Evelyn,Davidson,BT0397,False
david.jones@iiitg.ac.in,David,Jones,BT0398,True
michael.wheeler@iiitg.ac.in,Michael,Wheeler,BT0399,True
brittney.soto@iiitg.ac.in,Brittney,Soto,BT0400,False
brittany.porter@iiitg.ac.in,Brittany,Porter,BT0401,True
cody.shaw@iiitg.ac.in,Cody,Shaw,BT0402,True
christopher.stanley@iiitg.ac.in,Christopher,Stanley,BT0403,True
tony.holmes@iiitg.ac.in,Tony,Holmes,BT0404,False
justin.taylor@iiitg.ac.in,Justin,Taylor,BT0405,True
samantha.griffin@iiitg.ac.in,Samantha,Griffin,BT0406,True
carrie.williams@iiitg.ac.in,Carrie,Williams,BT0407,False
melanie.garza@iiitg.ac.in,Melanie,Garza,BT0408,False
robert.hunt@iiitg.ac.in,Robert,Hunt,BT0409,False
autumn.coleman@iiitg.ac.in,Autumn,Coleman,BT0410,True
franklin.jackson@iiitg.ac.in,Franklin,Jackson,BT0411,False
kyle.brown@iiitg.ac.in,Kyle,Brown,BT0412,False
